"","Accession name","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM"
"29","TMe-104","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Green purple","Green purple","2","Long (25-30cm)","Absent","Absent","Tending toward horizontal",9,4.5,2,1,14,7,16,8,0,32.3
"30","TMe-107","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","3","450-600","Green","Green purple","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",8,1.6,4.8,0.96,3,0.6,7.8,1.56,0,42.4
"31","TMe-108","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","450-600","Purple","Green purple","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",15,5,5,1.66666666666667,13.2,4.4,18.2,6.06666666666667,0,38
"34","TMe-117","Purple","Medium","Green purple","Top part","25-50% leaf retention","2","Cream","2","150-300","Dark green","Green purple","3","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",8,2,4.2,1.05,5.2,1.3,9.4,2.35,2,36.5
"36","TMe-123","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","5","Medium (15-20cm)","Long","Present","Tending toward horizontal",2,0.5,2.6,0.65,2.8,0.7,5.4,1.35,0,39.8
"37","TMe-130","Green purple","Medium","Green purple","Central part","25-50% leaf retention","3","Yellow","3","450-600","Green purple","Dark green","2","Long (25-30cm)","Absent","Absent","Irregular",5,5,1.2,1.2,2.4,2.4,3.6,3.6,0,29.5
"38","TMe-132","Green purple","Short","Green purple","Central part","50-75% leaf retention","3","Yellow","4","150-300","Purple","Dark green","4","Medium (15-20cm)","Absent","Present","Tending toward horizontal",9,3,1.8,0.6,3.6,1.2,5.4,1.8,5,35.1
"39","TMe-138","Purple","Long","Light green","Absent","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Present","Irregular",31,6.2,5.2,1.04,12.2,2.44,17.4,3.48,4,35.7
"40","TMe-141","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","1","White","0","No branching","Dark green","Green purple","1","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",5,5,0.8,0.8,1.8,1.8,2.6,2.6,2,30
"41","TMe-148","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","4","Medium (15-20cm)","Short","Present","Irregular",3,1.5,0.2,0.1,0.2,0.1,0.4,0.2,1,39.2
"42","TMe-150","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","1","White","1","150-300","Green purple","Green purple","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",6,3,1.2,0.6,2.8,1.4,4,2,2,29.7
"43","TMe-154","Purple","Long","Purple","Totally pigmented","<25% leaf retention","1","White","1","150-300","Purple","Green purple","1","Long (25-30cm)","Absent","Absent","Tending toward horizontal",1,1,0.2,0.2,0.2,0.2,0.4,0.4,1,37.3
"44","TMe-155","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","0","No branching","Dark green","Green purple","1","Long (25-30cm)","Short","Absent","Tending toward horizontal",4,4,0.8,0.8,1.4,1.4,2.2,2.2,1,41.9
"45","TMe-158","Green purple","Long","Green purple","Top part","25-50% leaf retention","2","White","1","450-600","Purple","Green purple","5","Long (25-30cm)","Absent","Present","Tending toward horizontal",13,4.33333333333333,3,1,7.6,2.53333333333333,10.6,3.53333333333333,4,40.7
"46","TMe-160","Green purple","Medium","Green purple","Top and bottom","<25% leaf retention","0","White","0","No branching","Dark green","Light green","5","Medium (15-20cm)","Short","Absent","Tending toward horizontal",7,1.75,1.6,0.4,2.2,0.55,3.8,0.95,3,35.8
"47","TMe-161","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Green purple","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",14,2.8,3,0.6,2.6,0.52,5.6,1.12,6,30.1
"48","TMe-167","Purple","Long","Green purple","Top and bottom","50-75% leaf retention","1","Cream","1","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",10,3.33333333333333,1.6,0.533333333333333,2,0.666666666666667,3.6,1.2,3,40.4
"49","TMe-170","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","2","450-600","Dark green","Green purple","4","Medium (15-20cm)","Short","Absent","Tending toward horizontal",7,1.4,2.8,0.56,1.6,0.32,4.4,0.88,3,42.8
"51","TMe-182","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Cream","2","150-300","Purple","Green purple","2","Medium (15-20cm)","Absent","Present","Tending toward horizontal",11,3.66666666666667,1.8,0.6,5,1.66666666666667,6.8,2.26666666666667,0,36.2
"52","TMe-191","Purple","Medium","Purple","Totally pigmented","25-50% leaf retention","3","Cream","2","150-300","Purple","Green purple","5","Long (25-30cm)","Short","Present","Irregular",12,3,2.8,0.7,4.6,1.15,7.4,1.85,1,42.5
"53","TMe-200","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green purple","4","Long (25-30cm)","Short","Present","Irregular",19,6.33333333333333,3,1,7.2,2.4,10.2,3.4,2,36.9
"54","TMe-203","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Dark green","Green purple","2","Long (25-30cm)","Absent","Present","Tending toward horizontal",4,1.33333333333333,1.6,0.533333333333333,1.2,0.4,2.8,0.933333333333333,2,37.5
"55","TMe-204","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","150-300","Dark green","Green purple","4","Long (25-30cm)","Intermediate","Present","Irregular",5,2.5,2.2,1.1,3,1.5,5.2,2.6,1,41.7
"56","TMe-206","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","White","0","No branching","Purple","Green purple","2","Long (25-30cm)","Absent","Present","Tending toward horizontal",2,2,1.6,1.6,2.4,2.4,4,4,0,43
"57","TMe-212","Green purple","Long","Green purple","Central part","25-50% leaf retention","2","Cream","3","450-600","Green purple","Dark green","4","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",10,3.33333333333333,1.6,0.533333333333333,3.6,1.2,5.2,1.73333333333333,1,34.8
"59","TMe-237","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Green purple","Green purple","4","Long (25-30cm)","Short","Present","Tending toward horizontal",6,1.5,1.8,0.45,2.2,0.55,4,1,1,36.9
"61","TMe-261","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","1","Cream","0","No branching","Purple","Purple","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",6,1.5,3,0.75,5.2,1.3,8.2,2.05,1,42.4
"63","TMe-266","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Yellow","5","450-600","Green purple","Green purple","5","Long (25-30cm)","Short","Present","Irregular",15,5,4.6,1.53333333333333,8.2,2.73333333333333,12.8,4.26666666666667,0,37.6
"64","TMe-267","Green purple","Long","Red","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Green purple","Purple","4","Medium (15-20cm)","Short","Absent","Tending toward horizontal",4,2,0.8,0.4,1.8,0.9,2.6,1.3,0,41.6
"65","TMe-269","Dark green","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","2","150-300","Dark green","Green purple","5","Medium (15-20cm)","Short","Absent","Irregular",17,4.25,3.8,0.95,7.8,1.95,11.6,2.9,1,40.3
"66","TMe-270","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","Yellow","3","450-600","Green purple","Green purple","5","Long (25-30cm)","Short","Absent","Irregular",20,4,4.6,0.92,10.2,2.04,14.8,2.96,1,43.6
